buff[0]=4000001f,  r=0 
buff[1]= 80006b1,  r=1 
buff[2]=  1afe74,  r=2 
buff[3]=  fb0cbe,  r=3 
buff[4]=  3b0cc5,  r=4 
buff[5]=18000005,  r=5 
buff[6]= 90006b1,  r=6 
buff[7]=19000002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000003f,  r=0 
buff[1]= 8001fb4,  r=1 
buff[2]=  1f09f7,  r=2 
buff[3]=  ff17a6,  r=3 
buff[4]=  3f17a9,  r=4 
buff[5]=18001005,  r=5 
buff[6]= 9001fb4,  r=6 
buff[7]=19001002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000005f,  r=0 
buff[1]= 80022f9,  r=1 
buff[2]=   c205f,  r=2 
buff[3]=  ec2d9b,  r=3 
buff[4]=  2c2dac,  r=4 
buff[5]=18002005,  r=5 
buff[6]= 90022f9,  r=6 
buff[7]=19002002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000007f,  r=0 
buff[1]= 8003a49,  r=1 
buff[2]=   95fc8,  r=2 
buff[3]=  e96cff,  r=3 
buff[4]=  296d10,  r=4 
buff[5]=18003005,  r=5 
buff[6]= 9003a49,  r=6 
buff[7]=19003002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=4000009f,  r=9 
buff[10]= 80042da,  r=10 
buff[11]=   ba17e,  r=11 
buff[12]=  ebaf64,  r=12 
buff[13]=  2baf76,  r=13 
buff[14]=18004005,  r=14 
buff[15]= 90042da,  r=15 
buff[16]=19004002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=400000bf,  r=0 
buff[1]= 80052a8,  r=1 
buff[2]=   ad95e,  r=2 
buff[3]=  eae6ae,  r=3 
buff[4]=  2ae6bc,  r=4 
buff[5]=18005005,  r=5 
buff[6]= 90052a8,  r=6 
buff[7]=19005002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=400000df,  r=9 
buff[10]= 8006e98,  r=10 
buff[11]=  1a9ae5,  r=11 
buff[12]=  faa8fe,  r=12 
buff[13]=  3aa90d,  r=13 
buff[14]=18006005,  r=14 
buff[15]= 9006e98,  r=15 
buff[16]=19006002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=400000ff,  r=0 
buff[1]= 80070e8,  r=1 
buff[2]=   3da39,  r=2 
buff[3]=  e3e835,  r=3 
buff[4]=  23e848,  r=4 
buff[5]=18007005,  r=5 
buff[6]= 90070e8,  r=6 
buff[7]=19007002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000011f,  r=0 
buff[1]= 8008e18,  r=1 
buff[2]=  189964,  r=2 
buff[3]=  f8a75c,  r=3 
buff[4]=  38a76c,  r=4 
buff[5]=18008005,  r=5 
buff[6]= 9008e18,  r=6 
buff[7]=19008002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000013f,  r=0 
buff[1]= 8009031,  r=1 
buff[2]=    fddd,  r=2 
buff[3]=  e10b6c,  r=3 
buff[4]=  210b71,  r=4 
buff[5]=18009005,  r=5 
buff[6]= 9009031,  r=6 
buff[7]=19009002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000015f,  r=0 
buff[1]= 800a6dc,  r=1 
buff[2]=  1baba1,  r=2 
buff[3]=  fbb971,  r=3 
buff[4]=  3bb984,  r=4 
buff[5]=1800a005,  r=5 
buff[6]= 900a6dc,  r=6 
buff[7]=1900a002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=4000017f,  r=9 
buff[10]= 800bdc1,  r=10 
buff[11]=  173fe1,  r=11 
buff[12]=  f74d61,  r=12 
buff[13]=  374d6c,  r=13 
buff[14]=1800b005,  r=14 
buff[15]= 900bdc1,  r=15 
buff[16]=1900b002,  r=16 
buff[17]=8000013f,  r=17 
buff[0]=4000019f,  r=0 
buff[1]= 800c8a4,  r=1 
buff[2]=   2ca98,  r=2 
buff[3]=  e2d836,  r=3 
buff[4]=  22d838,  r=4 
buff[5]=1800c005,  r=5 
buff[6]= 900c8a4,  r=6 
buff[7]=1900c002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400001bf,  r=0 
buff[1]= 800d5e6,  r=1 
buff[2]=  17d238,  r=2 
buff[3]=  f7dfa7,  r=3 
buff[4]=  37dfb1,  r=4 
buff[5]=1800d005,  r=5 
buff[6]= 900d5e6,  r=6 
buff[7]=1900d002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400001df,  r=0 
buff[1]= 800e7b3,  r=1 
buff[2]=  1f0638,  r=2 
buff[3]=  ff13d7,  r=3 
buff[4]=  3f13dc,  r=4 
buff[5]=1800e005,  r=5 
buff[6]= 900e7b3,  r=6 
buff[7]=1900e002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=400001ff,  r=0 
buff[1]= 800fcfd,  r=1 
buff[2]=  142e93,  r=2 
buff[3]=  f43c5c,  r=3 
buff[4]=  343c71,  r=4 
buff[5]=1800f005,  r=5 
buff[6]= 900fcfd,  r=6 
buff[7]=1900f002,  r=7 
buff[8]=8000013f,  r=8 
buff[9]=c0000000,  r=9 
buff[0]=4000021f,  r=0 
buff[1]= 80102c9,  r=1 
buff[2]=   b5e55,  r=2 
buff[3]=  eb6c00,  r=3 
