buff[Rpnt]=0  TrgCnt=0  Ch0(Tref) = 1769076  Ch1 = 3665  Ch7 = 3658  
buff[Rpnt]=1  TrgCnt=1  Ch0(Tref) = 2034167  Ch1 = 3506  Ch7 = 3503  
buff[Rpnt]=2  TrgCnt=2  Ch0(Tref) = 794719  Ch1 = 3405  Ch7 = 3388  
buff[Rpnt]=3  TrgCnt=3  Ch0(Tref) = 614344  Ch1 = 3400  Ch7 = 3383  
buff[Rpnt]=4  TrgCnt=4  Ch0(Tref) = 762238  Ch1 = 3576  Ch7 = 3558  
buff[Rpnt]=5  TrgCnt=5  Ch0(Tref) = 711006  Ch1 = 3422  Ch7 = 3408  
buff[Rpnt]=6  TrgCnt=6  Ch0(Tref) = 1743589  Ch1 = 3624  Ch7 = 3609  
buff[Rpnt]=7  TrgCnt=7  Ch0(Tref) = 252473  Ch1 = 3599  Ch7 = 3580  
buff[Rpnt]=8  TrgCnt=8  Ch0(Tref) = 1612132  Ch1 = 3592  Ch7 = 3576  
buff[Rpnt]=9  TrgCnt=9  Ch0(Tref) = 64989  Ch1 = 3476  Ch7 = 3471  
buff[Rpnt]=10  TrgCnt=10  Ch0(Tref) = 1813409  Ch1 = 3555  Ch7 = 3536  
buff[Rpnt]=11  TrgCnt=11  Ch0(Tref) = 1523681  Ch1 = 3467  Ch7 = 3456  
buff[Rpnt]=12  TrgCnt=12  Ch0(Tref) = 182936  Ch1 = 3488  Ch7 = 3486  
buff[Rpnt]=13  TrgCnt=13  Ch0(Tref) = 1561144  Ch1 = 3449  Ch7 = 3439  
buff[Rpnt]=14  TrgCnt=14  Ch0(Tref) = 2033208  Ch1 = 3492  Ch7 = 3487  
buff[Rpnt]=15  TrgCnt=15  Ch0(Tref) = 1322643  Ch1 = 3550  Ch7 = 3529  
buff[Rpnt]=16  TrgCnt=16  Ch0(Tref) = 745045  Ch1 = 3501  Ch7 = 3499  
buff[Rpnt]=17  TrgCnt=17  Ch0(Tref) = 1647420  Ch1 = 3486  Ch7 = 3479  
buff[Rpnt]=18  TrgCnt=18  Ch0(Tref) = 93115  Ch1 = 3656  Ch7 = 3646  
buff[Rpnt]=19  TrgCnt=19  Ch0(Tref) = 367027  Ch1 = 3427  Ch7 = 3413  
buff[Rpnt]=20  TrgCnt=20  Ch0(Tref) = 1728732  Ch1 = 3423  Ch7 = 3411  
buff[Rpnt]=21  TrgCnt=21  Ch0(Tref) = 1586845  Ch1 = 3550  Ch7 = 3531  
buff[Rpnt]=22  TrgCnt=22  Ch0(Tref) = 224584  Ch1 = 3567  Ch7 = 3549  
buff[Rpnt]=23  TrgCnt=23  Ch0(Tref) = 1317486  Ch1 = 3559  Ch7 = 3541  
buff[Rpnt]=24  TrgCnt=24  Ch0(Tref) = 1138836  Ch1 = 3256  Ch7 = 3245  
buff[Rpnt]=25  TrgCnt=25  Ch0(Tref) = 1497671  Ch1 = 3568  Ch7 = 3547  
buff[Rpnt]=26  TrgCnt=26  Ch0(Tref) = 1620620  Ch1 = 3418  Ch7 = 3406  
buff[Rpnt]=27  TrgCnt=27  Ch0(Tref) = 347670  Ch1 = 3458  Ch7 = 3448  
buff[Rpnt]=28  TrgCnt=28  Ch0(Tref) = 1775447  Ch1 = 3641  Ch7 = 3629  
buff[Rpnt]=29  TrgCnt=29  Ch0(Tref) = 1774392  Ch1 = 3546  Ch7 = 3533  
buff[Rpnt]=30  TrgCnt=30  Ch0(Tref) = 1913456  Ch1 = 3469  Ch7 = 3459  
buff[Rpnt]=31  TrgCnt=31  Ch0(Tref) = 799849  Ch1 = 3562  Ch7 = 3542  
buff[Rpnt]=32  TrgCnt=32  Ch0(Tref) = 1162177  Ch1 = 3483  Ch7 = 3476  
buff[Rpnt]=33  TrgCnt=33  Ch0(Tref) = 321807  Ch1 = 3526  Ch7 = 3514  
buff[Rpnt]=34  TrgCnt=34  Ch0(Tref) = 1405837  Ch1 = 3483  Ch7 = 3475  
buff[Rpnt]=35  TrgCnt=35  Ch0(Tref) = 1718059  Ch1 = 3389  Ch7 = 3370  
buff[Rpnt]=36  TrgCnt=36  Ch0(Tref) = 1539296  Ch1 = 3444  Ch7 = 3432  
buff[Rpnt]=37  TrgCnt=37  Ch0(Tref) = 1379660  Ch1 = 3523  Ch7 = 3514  
buff[Rpnt]=38  TrgCnt=38  Ch0(Tref) = 1120847  Ch1 = 3497  Ch7 = 3494  
buff[Rpnt]=39  TrgCnt=39  Ch0(Tref) = 814910  Ch1 = 3594  Ch7 = 3575  
buff[Rpnt]=40  TrgCnt=40  Ch0(Tref) = 518820  Ch1 = 3201  Ch7 = 3186  
buff[Rpnt]=41  TrgCnt=41  Ch0(Tref) = 1693901  Ch1 = 3251  Ch7 = 3239  
buff[Rpnt]=42  TrgCnt=42  Ch0(Tref) = 1791796  Ch1 = 3491  Ch7 = 3487  
buff[Rpnt]=43  TrgCnt=43  Ch0(Tref) = 1213423  Ch1 = 3466  Ch7 = 3458  
buff[Rpnt]=44  TrgCnt=44  Ch0(Tref) = 1332951  Ch1 = 3518  Ch7 = 3513  
buff[Rpnt]=45  TrgCnt=45  Ch0(Tref) = 226758  Ch1 = 3420  Ch7 = 3406  
buff[Rpnt]=46  TrgCnt=46  Ch0(Tref) = 568575  Ch1 = 3458  Ch7 = 3448  
buff[Rpnt]=47  TrgCnt=47  Ch0(Tref) = 347806  Ch1 = 3582  Ch7 = 3562  
buff[Rpnt]=48  TrgCnt=48  Ch0(Tref) = 932275  Ch1 = 3502  Ch7 = 3497  
buff[Rpnt]=49  TrgCnt=49  Ch0(Tref) = 955720  Ch1 = 3433  Ch7 = 3420  
buff[Rpnt]=50  TrgCnt=50  Ch0(Tref) = 220285  Ch1 = 3495  Ch7 = 3491  
buff[Rpnt]=51  TrgCnt=51  Ch0(Tref) = 1072605  Ch1 = 3457  Ch7 = 3447  
buff[Rpnt]=52  TrgCnt=52  Ch0(Tref) = 1498098  Ch1 = 3538  Ch7 = 3528  
buff[Rpnt]=53  TrgCnt=53  Ch0(Tref) = 618214  Ch1 = 3385  Ch7 = 3367  
buff[Rpnt]=54  TrgCnt=54  Ch0(Tref) = 114998  Ch1 = 3502  Ch7 = 3497  
buff[Rpnt]=55  TrgCnt=55  Ch0(Tref) = 1525352  Ch1 = 3436  Ch7 = 3423  
buff[Rpnt]=56  TrgCnt=56  Ch0(Tref) = 1621626  Ch1 = 3568  Ch7 = 3550  
buff[Rpnt]=57  TrgCnt=57  Ch0(Tref) = 2016735  Ch1 = 3439  Ch7 = 3427  
buff[Rpnt]=58  TrgCnt=58  Ch0(Tref) = 1629477  Ch1 = 3621  Ch7 = 3607  
buff[Rpnt]=59  TrgCnt=59  Ch0(Tref) = 757016  Ch1 = 3638  Ch7 = 3627  
buff[Rpnt]=60  TrgCnt=60  Ch0(Tref) = 1555237  Ch1 = 3619  Ch7 = 3601  
buff[Rpnt]=61  TrgCnt=61  Ch0(Tref) = 666063  Ch1 = 3475  Ch7 = 3465  
buff[Rpnt]=62  TrgCnt=62  Ch0(Tref) = 1049704  Ch1 = 3564  Ch7 = 3545  
buff[Rpnt]=63  TrgCnt=63  Ch0(Tref) = 209200  Ch1 = 3244  Ch7 = 3234  
buff[Rpnt]=64  TrgCnt=64  Ch0(Tref) = 476948  Ch1 = 3338  Ch7 = 3321  
buff[Rpnt]=65  TrgCnt=65  Ch0(Tref) = 1562244  Ch1 = 3512  Ch7 = 3510  
buff[Rpnt]=66  TrgCnt=66  Ch0(Tref) = 966075  Ch1 = 3450  Ch7 = 3441  
buff[Rpnt]=67  TrgCnt=67  Ch0(Tref) = 1818107  Ch1 = 3368  Ch7 = 3349  
buff[Rpnt]=68  TrgCnt=68  Ch0(Tref) = 112654  Ch1 = 3558  Ch7 = 3541  
buff[Rpnt]=69  TrgCnt=69  Ch0(Tref) = 73567  Ch1 = 3455  Ch7 = 3447  
buff[Rpnt]=70  TrgCnt=70  Ch0(Tref) = 1268374  Ch1 = 3442  Ch7 = 3431  
buff[Rpnt]=71  TrgCnt=71  Ch0(Tref) = 936859  Ch1 = 3641  Ch7 = 3631  
buff[Rpnt]=72  TrgCnt=72  Ch0(Tref) = 1146600  Ch1 = 3382  Ch7 = 3365  
buff[Rpnt]=73  TrgCnt=73  Ch0(Tref) = 1652853  Ch1 = 3571  Ch7 = 3551  
buff[Rpnt]=74  TrgCnt=74  Ch0(Tref) = 389910  Ch1 = 3615  Ch7 = 3599  
buff[Rpnt]=75  TrgCnt=75  Ch0(Tref) = 1845496  Ch1 = 3395  Ch7 = 3378  
buff[Rpnt]=76  TrgCnt=76  Ch0(Tref) = 569963  Ch1 = 3416  Ch7 = 3401  
buff[Rpnt]=77  TrgCnt=77  Ch0(Tref) = 506125  Ch1 = 3515  Ch7 = 3514  
buff[Rpnt]=78  TrgCnt=78  Ch0(Tref) = 1691835  Ch1 = 3590  Ch7 = 3572  
buff[Rpnt]=79  TrgCnt=79  Ch0(Tref) = 1653323  Ch1 = 3557  Ch7 = 3539  
buff[Rpnt]=80  TrgCnt=80  Ch0(Tref) = 379552  Ch1 = 3392  Ch7 = 3375  
buff[Rpnt]=81  TrgCnt=81  Ch0(Tref) = 1852556  Ch1 = 3527  Ch7 = 3511  
buff[Rpnt]=82  TrgCnt=82  Ch0(Tref) = 14078  Ch1 = 3422  Ch7 = 3410  
buff[Rpnt]=83  TrgCnt=83  Ch0(Tref) = 1830303  Ch1 = 3541  Ch7 = 3533  
buff[Rpnt]=84  TrgCnt=84  Ch0(Tref) = 1082337  Ch1 = 3515  Ch7 = 3513  
buff[Rpnt]=85  TrgCnt=85  Ch0(Tref) = 607375  Ch1 = 3493  Ch7 = 3488  
buff[Rpnt]=86  TrgCnt=86  Ch0(Tref) = 89110  Ch1 = 3537  Ch7 = 3526  
buff[Rpnt]=87  TrgCnt=87  Ch0(Tref) = 565782  Ch1 = 3521  Ch7 = 3518  
buff[Rpnt]=88  TrgCnt=88  Ch0(Tref) = 1258201  Ch1 = 3427  Ch7 = 3414  
buff[Rpnt]=89  TrgCnt=89  Ch0(Tref) = 1152084  Ch1 = 3596  Ch7 = 3579  
buff[Rpnt]=90  TrgCnt=90  Ch0(Tref) = 233695  Ch1 = 3438  Ch7 = 3428  
buff[Rpnt]=91  TrgCnt=91  Ch0(Tref) = 1521512  Ch1 = 3510  Ch7 = 3508  
buff[Rpnt]=92  TrgCnt=92  Ch0(Tref) = 1033110  Ch1 = 3478  Ch7 = 3467  
buff[Rpnt]=93  TrgCnt=93  Ch0(Tref) = 892476  Ch1 = 3506  Ch7 = 3504  
buff[Rpnt]=94  TrgCnt=94  Ch0(Tref) = 1237756  Ch1 = 3570  Ch7 = 3550  
buff[Rpnt]=95  TrgCnt=95  Ch0(Tref) = 401395  Ch1 = 3561  Ch7 = 3543  
buff[Rpnt]=96  TrgCnt=96  Ch0(Tref) = 385688  Ch1 = 3500  Ch7 = 3498  
buff[Rpnt]=97  TrgCnt=97  Ch0(Tref) = 120606  Ch1 = 3532  Ch7 = 3520  
buff[Rpnt]=98  TrgCnt=98  Ch0(Tref) = 511476  Ch1 = 3268  Ch7 = 3259  
buff[Rpnt]=99  TrgCnt=99  Ch0(Tref) = 1449840  Ch1 = 3384  Ch7 = 3364  
buff[Rpnt]=100  TrgCnt=100  Ch0(Tref) = 326143  Ch1 = 3415  Ch7 = 3402  
buff[Rpnt]=101  TrgCnt=101  Ch0(Tref) = 1833658  Ch1 = 3462  Ch7 = 3454  
buff[Rpnt]=102  TrgCnt=102  Ch0(Tref) = 1514935  Ch1 = 3423  Ch7 = 3412  
buff[Rpnt]=103  TrgCnt=103  Ch0(Tref) = 1536654  Ch1 = 3481  Ch7 = 3472  
buff[Rpnt]=104  TrgCnt=104  Ch0(Tref) = 1061402  Ch1 = 3559  Ch7 = 3540  
buff[Rpnt]=105  TrgCnt=105  Ch0(Tref) = 645536  Ch1 = 3407  Ch7 = 3390  
buff[Rpnt]=106  TrgCnt=106  Ch0(Tref) = 1376144  Ch1 = 3349  Ch7 = 3331  
buff[Rpnt]=107  TrgCnt=107  Ch0(Tref) = 1823749  Ch1 = 3464  Ch7 = 3455  
buff[Rpnt]=108  TrgCnt=108  Ch0(Tref) = 62470  Ch1 = 3558  Ch7 = 3540  
buff[Rpnt]=109  TrgCnt=109  Ch0(Tref) = 591917  Ch1 = 3367  Ch7 = 3348  
buff[Rpnt]=110  TrgCnt=110  Ch0(Tref) = 582729  Ch1 = 3605  Ch7 = 3589  
buff[Rpnt]=111  TrgCnt=111  Ch0(Tref) = 1161076  Ch1 = 3469  Ch7 = 3461  
buff[Rpnt]=112  TrgCnt=112  Ch0(Tref) = 1788406  Ch1 = 3145  Ch7 = 3125  
buff[Rpnt]=113  TrgCnt=113  Ch0(Tref) = 1872488  Ch1 = 3503  Ch7 = 3503  
buff[Rpnt]=114  TrgCnt=114  Ch0(Tref) = 688412  Ch1 = 3477  Ch7 = 3468  
buff[Rpnt]=115  TrgCnt=115  Ch0(Tref) = 275325  Ch1 = 3708  Ch7 = 3706  
buff[Rpnt]=116  TrgCnt=116  Ch0(Tref) = 1021880  Ch1 = 3620  Ch7 = 3605  
buff[Rpnt]=117  TrgCnt=117  Ch0(Tref) = 860094  Ch1 = 3435  Ch7 = 3422  
buff[Rpnt]=118  TrgCnt=118  Ch0(Tref) = 1667920  Ch1 = 3466  Ch7 = 3456  
buff[Rpnt]=119  TrgCnt=119  Ch0(Tref) = 1272842  Ch1 = 3567  Ch7 = 3548  
buff[Rpnt]=120  TrgCnt=120  Ch0(Tref) = 791637  Ch1 = 3340  Ch7 = 3327  
buff[Rpnt]=121  TrgCnt=121  Ch0(Tref) = 1322110  Ch1 = 3753  Ch7 = 3736  
buff[Rpnt]=122  TrgCnt=122  Ch0(Tref) = 2006592  Ch1 = 3422  Ch7 = 3410  
buff[Rpnt]=123  TrgCnt=123  Ch0(Tref) = 196408  Ch1 = 3469  Ch7 = 3461  
buff[Rpnt]=124  TrgCnt=124  Ch0(Tref) = 1808312  Ch1 = 3333  Ch7 = 3316  
buff[Rpnt]=125  TrgCnt=125  Ch0(Tref) = 1401502  Ch1 = 3412  Ch7 = 3396  
buff[Rpnt]=126  TrgCnt=126  Ch0(Tref) = 132699  Ch1 = 3150  Ch7 = 3132  
buff[Rpnt]=127  TrgCnt=127  Ch0(Tref) = 633541  Ch1 = 3659  Ch7 = 3648  
buff[Rpnt]=128  TrgCnt=128  Ch0(Tref) = 65140  Ch1 = 3450  Ch7 = 3437  
buff[Rpnt]=129  TrgCnt=129  Ch0(Tref) = 142803  Ch1 = 3534  Ch7 = 3519  
